File,Release Number,LOC,LOC touched,Number of Revisions,Fix Count,Authors,LOC added,Max LOC added,Average LOC added,Churn,Max Churn,Average Churn,Change Set Size,Max Change Set Size,Average Change Set Size,Release Length,Weighted Release Length,Measured
lib/javame/src/org/apache/thrift/TFieldRequirementType.java,1,48,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,353916,7373.250000,F
lib/java/src/org/apache/thrift/TEnum.java,1,24,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,353916,14746.500000,F
lib/java/src/org/apache/thrift/protocol/TBase64Utils.java,1,128,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,353916,2764.968750,F
lib/java/src/org/apache/thrift/transport/TSSLTransportFactory.java,1,332,332,1,1,1,332,332,332.0,332,332,332.0,45,45,332.0,353916,1066.012048,F
lib/java/src/org/apache/thrift/ShortStack.java,1,82,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,353916,4316.048780,F
lib/java/test/org/apache/thrift/transport/TestTFramedTransport.java,1,148,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,353916,2391.324324,F
lib/java/src/org/apache/thrift/TApplicationException.java,1,124,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,353916,2854.161290,F
tutorial/java/src/CalculatorHandler.java,1,92,92,1,1,1,92,92,92.0,92,92,92.0,45,45,92.0,353916,3846.913043,F
lib/java/src/org/apache/thrift/transport/AutoExpandingBufferReadTransport.java,1,85,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,353916,4163.717647,F
lib/java/test/org/apache/thrift/server/TestHsHaServer.java,1,30,3,1,1,1,2,2,2.0,1,1,1.0,45,45,1.0,353916,11797.200000,F
lib/java/src/org/apache/thrift/TException.java,1,45,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,353916,7864.800000,F
lib/java/src/org/apache/thrift/protocol/TMessageType.java,1,31,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,353916,11416.645161,F
lib/java/test/org/apache/thrift/transport/TestTSSLTransportFactory.java,1,82,82,1,1,1,82,82,82.0,82,82,82.0,45,45,82.0,353916,4316.048780,F
lib/java/src/org/apache/thrift/TFieldRequirementType.java,1,30,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,353916,11797.200000,F
lib/java/src/org/apache/thrift/TEnumHelper.java,1,57,57,1,1,1,57,57,57.0,57,57,57.0,45,45,57.0,353916,6209.052632,F
lib/java/src/org/apache/thrift/transport/TFramedTransport.java,1,175,4,1,1,1,2,2,2.0,0,0,0.0,14,14,0.0,353916,2022.377143,T
lib/java/test/org/apache/thrift/transport/TestAutoExpandingBufferWriteTransport.java,1,44,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,353916,8043.545455,F
lib/javame/src/org/apache/thrift/transport/TTransport.java,1,121,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,353916,2924.925620,F
lib/java/src/org/apache/thrift/meta_data/SetMetaData.java,1,29,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,353916,12204.000000,F
lib/java/src/org/apache/thrift/server/TNonblockingServer.java,1,705,133,2,2,1,27,23,13.5,-79,0,-39.5,59,45,-39.5,353916,502.008511,T
lib/java/src/org/apache/thrift/TBase.java,1,81,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,353916,4369.333333,T
lib/java/src/org/apache/thrift/transport/TNonblockingSocket.java,1,210,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,353916,1685.314286,T
lib/javame/src/org/apache/thrift/transport/THttpClient.java,1,167,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,353916,2119.257485,F
lib/java/src/org/apache/thrift/transport/TSocket.java,1,205,16,1,1,1,7,7,7.0,-2,0,-2.0,45,45,-2.0,353916,1726.419512,T
lib/java/src/org/apache/thrift/async/TAsyncClient.java,1,102,58,2,2,2,29,24,14.5,0,0,0.0,46,45,0.0,353916,3469.764706,T
lib/java/src/org/apache/thrift/meta_data/FieldValueMetaData.java,1,72,13,1,1,1,12,12,12.0,11,11,11.0,45,45,11.0,353916,4915.500000,T
lib/javame/src/org/apache/thrift/meta_data/SetMetaData.java,1,47,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,353916,7530.127660,F
contrib/fb303/java/FacebookBase.java,1,103,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,353916,3436.077670,T
lib/java/src/org/apache/thrift/transport/TIOStreamTransport.java,1,164,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,353916,2158.024390,T
lib/javame/src/org/apache/thrift/TApplicationException.java,1,130,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,353916,2722.430769,F
